DESCRIPTION,LOCATION,MANUFACTURER,MODEL,YEAR,FUEL TYPE,KMS DRIVEN,PRICE
Nissan Micra Xv Diesel (make Year 2011) (diesel),Delhi,Nissan,Micra,2011,Diesel,48000,285000
Honda Amaze 1.5 Vx I-dtec (make Year 2013) (diesel),Delhi,Honda,Amaze,2013,Diesel,28000,425000
Maruti Suzuki Wagon R Lxi Bs-iii (make Year 2012) (cng),Delhi,Maruti Suzuki,Wagon R,2012,CNG & Hybrids,47236,276000
Maruti Suzuki Eeco cng 110000 Kms 2011 year,Delhi,Maruti Suzuki,Eeco,2011,CNG & Hybrids,110000,220000
Hyundai Santro Xing Gl Plus (make Year 2013) (petrol),Delhi,Hyundai,Santro Xing,2013,Petrol,50000,280000
Chevrolet Beat Ls Petrol (make Year 2010) (petrol),Delhi,Chevrolet,Beat,2010,Petrol,49000,165000
Tata Manza Aqua Safire Bs-iv (make Year 2010) (petrol),Delhi,Tata,Manza,2010,Petrol,47000,145000
Hyundai I20 Magna (o) 1.2 (make Year 2010) (petrol),Delhi,Hyundai,I20,2010,Petrol,51000,310000
Mercedes-benz E-class E200 Cgi Blue Efficiency (make Year 20,Delhi,Mercedes-Benz,E Class,2011,Petrol,92000,1900000
Santa Fe SUV diesel 59000 Kms 2012 year,Delhi,Hyundai,Santa Fe,2012,Diesel,59000,1500000
Hyundai i20 diesel 34000 Kms 2012 year,Delhi,Hyundai,I20,2012,Diesel,34000,340000
Honda City 1.5 S Mt (make Year 2011) (petrol),Delhi,Honda,City,2011,Petrol,73000,510000
Chevrolet Beat (make Year 2010) (petrol),Delhi,Chevrolet,Beat,2010,Petrol,18000,185000
Maruti Suzuki Zen Estilo (make Year 2011) (petrol),Delhi,Maruti Suzuki,Zen Estilo,2011,Petrol,29450,221000
2011 Aug Maruti Suzuki Ritz diesel 94000 Kms. Well maintained,Delhi,Maruti Suzuki,Ritz,2011,Diesel,94000,280000
Maruti Suzuki Wagon R Lxi Bs-iii (make Year 2011) (cng),Delhi,Maruti Suzuki,Wagon R,2011,CNG & Hybrids,58000,260000
Chevrolet Beat Lt Petrol (make Year 2010) (petrol),Delhi,Chevrolet,Beat,2010,Petrol,26000,195000
cruze brand new,Delhi,Chevrolet,Cruze,2012,Diesel,42000,590000
2013 Honda Amaze diesel 33200 Kms,Delhi,Honda,Amaze,2013,Diesel,33200,500000
Tata Manza Aura Quadrajet Bs-iii (make Year 2010) (diesel),Delhi,Tata,Manza,2010,Diesel,58000,225000
Skoda Fabia Elegance 1.4 Pd Tdi (make Year 2011) (diesel),Delhi,Skoda,Fabia,2011,Diesel,55235,285000
Hyundai I10 Era 1.1 Irde2 (make Year 2011) (petrol),Delhi,Hyundai,I10,2011,Petrol,48560,265000
Chevrolet Aveo U-va Ls 1.2 Techno (make Year 2010) (cng),Delhi,Chevrolet,Aveo U Va,2010,CNG & Hybrids,58000,155000
Chevrolet Spark Lt 1.0 Bs-iii (make Year 2012) (petrol),Delhi,Chevrolet,Spark,2012,Petrol,45000,195000
Hyundai I10 Magna (make Year 2011) (cng),Delhi,Hyundai,I10,2011,CNG & Hybrids,57000,235000
Maruti Suzuki Wagon R 1.0 Lxi Cng (make Year 2012) (cng),Delhi,Maruti Suzuki,Wagon R 1.0,2012,CNG & Hybrids,47000,285000
Hyundai Santro Xing Gls (make Year 2010) (cng),Delhi,Hyundai,Santro Xing,2010,CNG & Hybrids,48000,200000
Maruti Suzuki A-star Vxi (make Year 2010) (cng),Delhi,Maruti Suzuki,A Star,2010,CNG & Hybrids,55000,178000
Hyundai I20 Sportz 1.4 Crdi (make Year 2011) (diesel),Delhi,Hyundai,I20,2011,Diesel,49000,360000
Maruti Suzuki ceko cng 150000 Kms 2010 year,Delhi,Maruti Suzuki,Eeco,2010,CNG & Hybrids,150000,100000
Hyundai Grand I10 Asta At 1.2 Kappa Vtvt (make Year 2014) (p,Delhi,Hyundai,Grand I10,2014,Petrol,36500,475000
Maruti Suzuki Sx4 Vxi (make Year 2010) (petrol),Delhi,Maruti Suzuki,Sx4,2010,Petrol,56000,275000
Tata Manza Aura (+) Quadrajet Bs-iv (make Year 2011) (diesel,Delhi,Tata,Manza,2011,Diesel,74000,210000
Hyundai I10 Magna (make Year 2010) (cng),Delhi,Hyundai,I10,2010,CNG & Hybrids,56250,250000
Maruti Suzuki Ritz Vdi (abs) Bs-iv (make Year 2010) (diesel),Delhi,Maruti Suzuki,Ritz,2010,Diesel,68000,255000
Tata Safari Storme 2.2 Lx 4x2 (make Year 2013) (diesel),Delhi,Tata,Safari Storme,2013,Diesel,32150,750000
Hyundai Grand I10 Asta At 1.2 Kappa Vtvt (make Year 2014) (p,Delhi,Hyundai,Grand I10,2014,Petrol,36500,475000
Nissan Micra Xl Diesel (make Year 2015) (petrol),Delhi,Nissan,Micra,2015,Petrol,14000,365000
Volkswagen Polo Trendline 1.2l (p) (make Year 2012) (petrol),Delhi,Volkswagen,Polo,2012,Petrol,44542,365000
Hyundai Santa Fe 4 Wd (make Year 2010) (diesel),Delhi,Hyundai,Santa Fe,2010,Diesel,67000,1150000
Honda Amaze 1.5 Vx I-dtec (make Year 2013) (diesel),Delhi,Honda,Amaze,2013,Diesel,28000,425000
Hyundai Eon Magna (make Year 2012) (petrol),Delhi,Hyundai,Eon,2012,Petrol,36547,231000
Hyundai Grand I10 Asta At 1.2 Kappa Vtvt (make Year 2014) (p,Delhi,Hyundai,Grand I10,2014,Petrol,36500,475000
Mercedes-benz C-class 200 Cgi Avantgarde (make Year 2015) (p,Delhi,Mercedes-Benz,C Class,2015,Petrol,7000,3450000
Chevrolet Beat Ls Petrol (make Year 2010) (cng),Delhi,Chevrolet,Beat,2010,CNG & Hybrids,47000,231000
Mahindra Xuv500 W8diesel 60000 Kms 2012 year,Delhi,Mahindra,Xuv500,2012,Diesel,60000,850000
Maruti Suzuki Swift Lxi (make Year 2011) (petrol),Delhi,Maruti Suzuki,Swift,2011,Petrol,51000,275000
Maruti Suzuki Eeco 5 Str With A/c+htr Cng (make Year 2012) (,Delhi,Maruti Suzuki,Eeco,2012,CNG & Hybrids,54000,265000
"Maruti suzuki SX4, vdi diesel, silver colour.",Delhi,Maruti Suzuki,Sx4,2011,Diesel,63000,390000
Ford Fiesta Zxi 1.6 Abs (make Year 2010) (petrol),Delhi,Ford,Fiesta,2010,Petrol,48000,241000
Honda City Sv Cvt (make Year 2015) (petrol),Delhi,Honda,City,2015,Petrol,14600,950000
Maruti Suzuki Swift Lxi 1.2 Bs-iv (make Year 2010) (cng),Delhi,Maruti Suzuki,Swift,2010,CNG & Hybrids,52000,280000
Hyundai Eon Magna O (make Year 2012) (petrol),Delhi,Hyundai,Eon,2012,Petrol,39000,240000
Audi Q5 2.0 Tdi Quattro Technology Pack (make Year 2014) (di,Delhi,Audi,Q5,2014,Diesel,45000,3700000
Single Owner CNG approved WagonR 2012,Delhi,Maruti Suzuki,Wagon R,2012,CNG & Hybrids,58600,249999
Tata Manza Aqua Quadrajet Bs-iii (make Year 2010) (diesel),Delhi,Tata,Manza,2010,Diesel,71000,160000
Hyundai Eon Magna (make Year 2012) (petrol),Delhi,Hyundai,Eon,2012,Petrol,21000,225000
Maruti Suzuki Zen Estilo petrol 60000 Kms 2010 year,Delhi,Maruti Suzuki,Zen Estilo,2010,Petrol,60000,190000
Hyundai I20 Magna 1.2 (make Year 2010) (petrol),Delhi,Hyundai,I20,2010,Petrol,51000,295000
Tata Indigo Gle Bs-iii (make Year 2012) (diesel),Delhi,Tata,Indigo,2012,Diesel,59000,210000
Mercedes-benz Cls 350 Blueefficiency (make Year 2011) (diese,Delhi,Mercedes-Benz,Cls,2011,Diesel,20000,2800000
Maruti Suzuki Swift Lxi (make Year 2011) (cng),Delhi,Maruti Suzuki,Swift,2011,CNG & Hybrids,44000,275000
2013 Hyundai Eon petrol 15000 Kms,Delhi,Hyundai,Eon,2013,Petrol,15000,225000
Hyundai I20 Magna (o) 1.2 (make Year 2012) (petrol),Delhi,Hyundai,I20,2012,Petrol,42000,390000
Maruti Suzuki Swift Vdi Abs (make Year 2010) (diesel),Delhi,Maruti Suzuki,Swift,2010,Diesel,54000,320000
2015 Hyundai Xcent petrol 15000 Kms,Delhi,Hyundai,Xcent,2015,Petrol,15000,550000
Hyundai Verna Crdi Vgt Sx 1.5 (make Year 2012) (diesel),Delhi,Hyundai,Verna,2012,Diesel,52000,572000
Honda City 1.5 V Mt (make Year 2010) (petrol),Delhi,Honda,City,2010,Petrol,55000,399000
Chevrolet Beat Lt Petrol (make Year 2010) (petrol),Delhi,Chevrolet,Beat,2010,Petrol,60000,190000
Bmw X1 Sdrive20d(h) (make Year 2011) (diesel),Delhi,BMW,X1,2011,Diesel,50000,1350000
Toyota Corolla Altis 1.8 G At (make Year 2014) (petrol),Delhi,Toyota,Corolla Altis,2014,Petrol,20000,1510000
Hyundai Eon Magna + (make Year 2011) (petrol),Delhi,Hyundai,Eon,2011,Petrol,37000,240000
Hyundai Accent Gls 1.6 Abs (make Year 2010) (cng),Delhi,Hyundai,Accent,2010,CNG & Hybrids,67000,220000
Toyota Fortuner 3.0 4x4 Mt (make Year 2013) (diesel),Delhi,Toyota,Fortuner,2013,Diesel,50000,2100000
Audi A4 35 Tdi Premium + Sunroof (make Year 2014) (diesel),Delhi,Audi,A4,2014,Diesel,20000,2525000
Chevrolet Beat Ps Petrol (make Year 2010) (petrol),Delhi,Chevrolet,Beat,2010,Petrol,18000,190000
Chevrolet Cruze diesel 66000 Kms 2011 year,Delhi,Chevrolet,Cruze,2011,Diesel,66000,650000
Renault Duster 85 Ps Rxl Diesel (make Year 2013) (diesel),Delhi,Renault,Duster,2013,Diesel,65000,650000
Audi Q3 2.0 Tdi Quattro Premium Plus (make Year 2015) (diese,Delhi,Audi,Q3,2015,Diesel,35000,2650000
Maruti Suzuki Swift Vdi (make Year 2013) (diesel),Delhi,Maruti Suzuki,Swift,2013,Diesel,55000,425000
Maruti Suzuki A-star Vxi (make Year 2012) (petrol),Delhi,Maruti Suzuki,A Star,2012,Petrol,43000,225000
Bmw Z4 Roadster Sdrive35i (make Year 2011) (petrol),Delhi,BMW,Z4,2011,Petrol,13000,4500000
"(used) (421,000)",Delhi,Honda,Brio,2013,Petrol,14000,421000
Hyundai Grand I10 Magna 1.1 Crdi (make Year 2013) (diesel),Delhi,Hyundai,Grand I10,2013,Diesel,29000,440000
Volkswagen Vento Highline Petrol At (make Year 2011) (petrol,Delhi,Volkswagen,Vento,2011,Petrol,47000,350000
Maruti Suzuki Swift Lxi (o) (make Year 2014) (petrol),Delhi,Maruti Suzuki,Swift,2014,Petrol,17000,440000
Audi A3 35 Tdi Premium Plus (make Year 2015) (diesel),Delhi,Audi,A3,2015,Diesel,10000,2389999
Mahindra Xuv500 W8 (make Year 2014) (diesel),Delhi,Mahindra,Xuv500,2014,Diesel,57000,1250000
Honda City 1.5 S Mt (make Year 2010) (cng),Delhi,Honda,City,2010,CNG & Hybrids,65000,285000
Maruti Suzuki Ritz Vdi (abs) Bs-iv (make Year 2011) (diesel),Delhi,Maruti Suzuki,Ritz,2011,Diesel,62305,285000
Hyundai Santro Xing Gls (make Year 2012) (cng),Delhi,Hyundai,Santro Xing,2012,CNG & Hybrids,32400,290900
Audi A6 2.7 Tdi (make Year 2010) (diesel),Delhi,Audi,A6,2010,Diesel,74000,1600000
Mitsubishi Pajero Sfx 2.8 (make Year 2012) (diesel),Delhi,Mitsubishi,Pajero,2012,Diesel,61000,1150000
Maruti Suzuki Swift Lxi 1.2 Bs-iv (make Year 2010) (cng),Delhi,Maruti Suzuki,Swift,2010,CNG & Hybrids,50000,290000
Mahindra Scorpio S6 (make Year 2015) (diesel),Delhi,Mahindra,Scorpio,2015,Diesel,44000,1060000
Maruti Suzuki Sx4 Vdi (make Year 2011) (diesel),Delhi,Maruti Suzuki,Sx4,2011,Diesel,40000,400000
Tata Safari diesel 55500 Kms 2009 year,Delhi,Tata,Safari,2010,Diesel,55500,410000
Mercedes-benz M-class 350 Cdi (make Year 2013) (diesel),Delhi,Mercedes-Benz,M Class,2013,Diesel,34001,3800000
Maruti Suzuki Alto Lxi Bs-iv (make Year 2011) (petrol),Delhi,Maruti Suzuki,Alto,2011,Petrol,63000,165000
Mercedes-benz Gl-class 350 Cdi (make Year 2014) (diesel),Delhi,Mercedes-Benz,Gl Class,2014,Diesel,41001,6000000
Volkswagen Polo Trendline 1.2l (p) (make Year 2010) (petrol),Delhi,Volkswagen,Polo,2010,Petrol,66000,265000
Mercedes-benz C-class 250 Cdi Avantgarde (make Year 2011) (d,Delhi,Mercedes-Benz,C Class,2011,Diesel,32001,1600000
Hyundai Santro Xing Gls (make Year 2010) (petrol),Delhi,Hyundai,Santro Xing,2010,Petrol,55800,240000
Volkswagen Polo Highline1.2l (p) (make Year 2010) (petrol),Delhi,Volkswagen,Polo,2010,Petrol,56200,295000
Maruti Suzuki Wagon R 1.0 Vxi (make Year 2015) (petrol),Delhi,Maruti Suzuki,Wagon R 1.0,2015,Petrol,23000,380000
Audi A4 2.0 Tdi (177bhp) Premium Plus (make Year 2011) (dies,Delhi,Audi,A4,2011,Diesel,55000,1499999
Mahindra Scorpio Vlx 2wd Bs-iii (make Year 2010) (diesel),Delhi,Mahindra,Scorpio,2010,Diesel,71200,586000
Hyundai Santro Xing cng 92000 Kms 2010 year,Delhi,Hyundai,Santro Xing,2010,CNG & Hybrids,92000,160000
Maruti Suzuki Wagon R Vxi Bs-iii (make Year 2013) (petrol),Delhi,Maruti Suzuki,Wagon R,2013,Petrol,45600,336000
Nissan Sunny Xv Diesel (make Year 2012) (diesel),Delhi,Nissan,Sunny,2012,Diesel,55000,395000
Mercedes-benz Slk-class Slk 350 (make Year 2012) (petrol),Delhi,Mercedes-Benz,Slk Class,2012,Petrol,19001,5000000
Mercedes-benz C-class 220 Cdi At (make Year 2012) (diesel),Delhi,Mercedes-Benz,C Class,2012,Diesel,25001,2050000
Bmw 5 Series 530d Highline Sedan (make Year 2012) (diesel),Delhi,BMW,5 Series,2012,Diesel,55000,2399999
Maruti Suzuki Wagon R Vxi Minor (make Year 2010) (cng),Delhi,Maruti Suzuki,Wagon R,2010,CNG & Hybrids,58000,225000
Hyundai Eon Magna O (make Year 2011) (petrol),Delhi,Hyundai,Eon,2011,Petrol,35000,225000
Hyundai Eon Era + (make Year 2012) (petrol),Delhi,Hyundai,Eon,2012,Petrol,28000,230000
Bmw 3 Series 320d Luxury Line (make Year 2012) (diesel),Delhi,BMW,3 Series,2012,Diesel,21000,1700000
2014 Maruti Suzuki Swift diesel 33000 Kms,Delhi,Maruti Suzuki,Swift,2014,Diesel,33000,465000
Toyota Fortuner 3.0 4x2 At (make Year 2012) (diesel),Delhi,Toyota,Fortuner,2012,Diesel,47000,1825000
Maruti Suzuki Wagon R 1.0 Lxi Cng (make Year 2011) (cng),Delhi,Maruti Suzuki,Wagon R 1.0,2011,CNG & Hybrids,74000,225000
Maruti Suzuki Swift Dzire Vdi Bs-iv (make Year 2013) (diesel,Delhi,Maruti Suzuki,Swift Dzire,2013,Diesel,47000,450000
Mahindra Xuv500 W10 (make Year 2015) (diesel),Delhi,Mahindra,Xuv500,2015,Diesel,12000,1575000
Nissan Sunny Xv Diesel (make Year 2012) (diesel),Delhi,Nissan,Sunny,2012,Diesel,55000,395000
Hyundai I20 Magna (o) 1.2 (make Year 2012) (petrol),Delhi,Hyundai,I20,2012,Petrol,38000,410000
Maruti Suzuki Sx4 Vxi Cng (make Year 2013) (cng),Delhi,Maruti Suzuki,Sx4,2013,CNG & Hybrids,42000,390000
Maruti Suzuki Wagon R 1.0 Lxi Cng (make Year 2014) (cng),Delhi,Maruti Suzuki,Wagon R 1.0,2014,CNG & Hybrids,39000,375000
Hyundai I10 Magna 1.2 (make Year 2011) (petrol),Delhi,Hyundai,I10,2011,Petrol,37000,285000
2012 Hyundai I10 petrol 88200 Kms,Delhi,Hyundai,I10,2012,Petrol,88200,260000
Bmw X1 Sdrive20d Xline (make Year 2013) (diesel),Delhi,BMW,X1,2013,Diesel,19501,2100000
Audi A4 2.0 Tdi (177bhp) Premium Plus (make Year 2015) (dies,Delhi,Audi,A4,2015,Diesel,14000,2750000
Toyota Etios Gd (make Year 2013) (diesel),Delhi,Toyota,Etios,2013,Diesel,74000,375000
Maruti Suzuki Wagon R 1.0 Lxi Cng (make Year 2013) (cng),Delhi,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,43000,325000
Ford Endeavour 3.0l 4x4 At (make Year 2012) (diesel),Delhi,Ford,Endeavour,2012,Diesel,73000,1100000
Chevrolet Cruze Lt (make Year 2011) (diesel),Delhi,Chevrolet,Cruze,2011,Diesel,71000,585000
Skoda Superb Elegance 1.8 Tsi Mt (make Year 2010) (petrol),Delhi,Skoda,Superb,2010,Petrol,47800,600000
Honda City petrol 50000 Kms 2012 year,Delhi,Honda,City,2012,Petrol,50000,425000
Honda Brio S Mt (make Year 2014) (petrol),Delhi,Honda,Brio,2014,Petrol,6000,415000
Hyundai Santro Xing Gls (cng) (make Year 2012) (cng),Delhi,Hyundai,Santro Xing,2012,CNG & Hybrids,37000,285000
Toyota Etios Vx (make Year 2011) (petrol),Delhi,Toyota,Etios,2011,Petrol,71000,350000
2010 Hyundai I10 cng 60000 Kms,Delhi,Hyundai,I10,2010,CNG & Hybrids,60000,205000
Mahindra Scorpio Vlx 2wd Airbag Bs-iv (make Year 2010) (dies,Delhi,Mahindra,Scorpio,2010,Diesel,71000,585000
Mahindra Xuv500 W6 (make Year 2013) (diesel),Delhi,Mahindra,Xuv500,2013,Diesel,55800,925000
2014 Maruti Suzuki Swift diesel 63585 Kms,Delhi,Maruti Suzuki,Swift,2014,Diesel,63585,460000
Mahindra Scorpio Lx 4wd Bs-iv (make Year 2013) (diesel),Delhi,Mahindra,Scorpio,2013,Diesel,78800,690000
Hyundai Eon D-lite + (make Year 2012) (petrol),Delhi,Hyundai,Eon,2012,Petrol,31800,235000
Audi Q5 2.0 Tdi Quattro Premium (make Year 2015) (diesel),Delhi,Audi,Q5,2015,Diesel,7501,3950000
Ford Ecosport Titanium 1.0 Ecoboost (make Year 2014) (petrol,Delhi,Ford,Ecosport,2014,Petrol,40000,646000
Maruti Suzuki Swift Dzire Vxi (make Year 2012) (petrol),Delhi,Maruti Suzuki,Swift Dzire,2012,Petrol,61000,370000
Maruti Suzuki Swift Dzire Ldi (make Year 2013) (diesel),Delhi,Maruti Suzuki,Swift Dzire,2013,Diesel,42000,450000
Hyundai Verna Fluidic 1.6 Crdi Sx At (make Year 2012) (diese,Delhi,Hyundai,Verna,2012,Diesel,45000,699000
Mahindra Bolero Slx Bs Iv (make Year 2013) (diesel),Delhi,Mahindra,Bolero,2013,Diesel,49200,585000
Audi A6 2.0 Tdi Premium Plus (make Year 2011) (diesel),Delhi,Audi,A6,2011,Diesel,71200,1525000
Hyundai I10 Magna 1.2 (make Year 2012) (petrol),Delhi,Hyundai,I10,2012,Petrol,41110,320000
Hyundai I20 Magna (o) 1.2 (make Year 2011) (petrol),Delhi,Hyundai,I20,2011,Petrol,49000,330000
2012 Hyundai Santro Xing cng 85000 Kms,Delhi,Hyundai,Santro Xing,2012,CNG & Hybrids,85000,180000
Chevrolet Beat Lt Opt Petrol (make Year 2010) (petrol),Delhi,Chevrolet,Beat,2010,Petrol,54000,210000
Hyundai Eon Magna + (make Year 2011) (petrol),Delhi,Hyundai,Eon,2011,Petrol,39000,240000
Hyundai I10 Magna 1.2 (make Year 2010) (petrol),Delhi,Hyundai,I10,2010,Petrol,44000,260000
Mahindra Xuv500 W8 Awd (make Year 2013) (diesel),Delhi,Mahindra,Xuv500,2013,Diesel,44300,955000
Toyota Etios Liva G (make Year 2015) (petrol),Delhi,Toyota,Etios Liva,2015,Petrol,30200,470000
Hyundai I20  (make Year 2013) (petrol),Delhi,Hyundai,I20,2013,Petrol,42000,440000
Honda Jazz V Mt (make Year 2010) (petrol),Delhi,Honda,Jazz,2010,Petrol,48000,340000
Volkswagen Vento Highline Petrol (make Year 2012) (petrol),Delhi,Volkswagen,Vento,2012,Petrol,49500,470000
Mercedes-benz A-class A 180 Cdi Style (make Year 2014) (dies,Delhi,Mercedes-Benz,A Class,2014,Diesel,3510,2199999
Skoda Fabia Classic 1.2 Mpi (make Year 2011) (petrol),Delhi,Skoda,Fabia,2011,Petrol,39000,255000
Maruti Suzuki A-star Vxi (make Year 2010) (petrol),Delhi,Maruti Suzuki,A Star,2010,Petrol,62000,215000
Maruti Suzuki Swift Lxi (make Year 2010) (petrol),Delhi,Maruti Suzuki,Swift,2010,Petrol,46000,285000
Hyundai I10 Era 1.1 Irde2 (make Year 2010) (cng),Delhi,Hyundai,I10,2010,CNG & Hybrids,49000,250000
Hyundai I10 Magna 1.2 (make Year 2011) (petrol),Delhi,Hyundai,I10,2011,Petrol,35100,290900
Maruti Suzuki Swift Dzire Vxi (make Year 2011) (petrol),Delhi,Maruti Suzuki,Swift Dzire,2011,Petrol,61000,366000
2012 Tata Nano petrol 17000 Kms,Delhi,Tata,Nano,2012,Petrol,17000,63000
Honda Mobilio V I-dtec (make Year 2014) (diesel),Delhi,Honda,Mobilio,2014,Diesel,35000,649000
Hyundai I20 Magna (o) 1.2 (make Year 2012) (petrol),Delhi,Hyundai,I20,2012,Petrol,42000,350000
Maruti Suzuki Ritz Lxi Bs-iv (make Year 2011) (petrol),Delhi,Maruti Suzuki,Ritz,2011,Petrol,23000,297000
Hyundai I10 cng 65000 Kms 2011 year,Delhi,Hyundai,I10,2011,CNG & Hybrids,65000,230000
Honda City S (make Year 2012) (petrol),Delhi,Honda,City,2012,Petrol,52000,524999
Hyundai Santro Xing (make Year 2010) (petrol),Delhi,Hyundai,Santro Xing,2010,Petrol,58356,220000
Tata Vista diesel 95000 Kms 2012 year,Delhi,Tata,Vista,2012,Diesel,95000,170000
2012 Toyota Innova diesel 57000 Kms,Delhi,Toyota,Innova,2012,Diesel,57000,900000
Tata Manza Elan Quadrajet Bs-iv (make Year 2011) (diesel),Delhi,Tata,Manza,2011,Diesel,62000,220000
Tata Manza Aura (+) Quadrajet Bs-iv (make Year 2011) (diesel,Delhi,Tata,Manza,2011,Diesel,91000,249000
Mahindra Scorpio Sle Bs-iv (make Year 2010) (diesel),Delhi,Mahindra,Scorpio,2010,Diesel,90100,566000
2012 Maruti Suzuki Swift Dzire diesel 56000 Kms,Delhi,Maruti Suzuki,Swift Dzire,2012,Diesel,56000,345000
Skoda Rapid 1.6 Mpi Elegance Plus (make Year 2012) (diesel),Delhi,Skoda,Rapid,2012,Diesel,63000,441000
Maruti Suzuki Swift Dzire Vdi (make Year 2012) (diesel),Delhi,Maruti Suzuki,Swift Dzire,2012,Diesel,55000,425000
Bmw 3 Series 320d Luxury Line (make Year 2012) (diesel),Delhi,BMW,3 Series,2012,Diesel,26000,1965000
Chevrolet Beat Ls Petrol (make Year 2011) (petrol),Delhi,Chevrolet,Beat,2011,Petrol,52525,188000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2011) (petrol),Delhi,Ford,Figo,2011,Petrol,66000,260000
2012 Maruti Suzuki Swift Dzire vxi petrol 62000 Kms,Delhi,Maruti Suzuki,Swift Dzire,2012,Petrol,62000,390000
Chevrolet Beat Diesel Ls For Sale,Delhi,Chevrolet,Beat,2014,Diesel,36000,300000
Honda Civic petrol 46200 Kms 2010 year,Delhi,Honda,Civic,2010,Petrol,46200,470000
Bmw X5 Xdrive30d Pure Experience (7 Seater) (make Year 2015),Delhi,BMW,X5,2015,Diesel,54000,5000000
Ford Figo Duratec Petrol Lxi 1.2 (make Year 2011) (petrol),Delhi,Ford,Figo,2011,Petrol,58500,250000
Maruti Suzuki Ritz Ldi Bs-iv (make Year 2011) (diesel),Delhi,Maruti Suzuki,Ritz,2011,Diesel,47000,290000
Chevrolet Captiva diesel 72000 Kms 2011 year,Delhi,Chevrolet,Captiva,2011,Diesel,72000,599000
Chevrolet Cruze (make Year 2015) (diesel),Delhi,Chevrolet,Cruze,2015,Diesel,27414,1450000
Hyundai Verna Fluidic 1.6 Vtvt Sx (make Year 2012) (petrol),Delhi,Hyundai,Verna,2012,Petrol,46000,560000
Hyundai Santro Xing Gls (make Year 2010) (petrol),Delhi,Hyundai,Santro Xing,2010,Petrol,55000,240000
Volkswagen Polo Trendline 1.2l (d) (make Year 2012) (diesel),Delhi,Volkswagen,Polo,2012,Diesel,68000,375000
Maruti Suzuki Swift Dzire Lxi (o) (make Year 2010) (cng),Delhi,Maruti Suzuki,Swift Dzire,2010,CNG & Hybrids,61671,269000
Mahindra Quanto C8 (make Year 2013) (diesel),Delhi,Mahindra,Quanto,2013,Diesel,65000,340000
Maruti Suzuki Alto 800 Lxi (make Year 2012) (petrol),Delhi,Maruti Suzuki,Alto 800,2012,Petrol,20100,220000
Hyundai I10 Sportz 1.2 (make Year 2011) (petrol),Delhi,Hyundai,I10,2011,Petrol,39000,275000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Delhi,Maruti Suzuki,Swift,2012,Diesel,47000,390000
Mahindra Xuv500 W8 Awd (make Year 2013) (diesel),Delhi,Mahindra,Xuv500,2013,Diesel,45000,940000
Volkswagen Vento Highline Petrol (make Year 2010) (petrol),Delhi,Volkswagen,Vento,2010,Petrol,49000,345000
Maruti Suzuki Ertiga Vdi (make Year 2012) (diesel),Delhi,Maruti Suzuki,Ertiga,2012,Diesel,63000,575000
Hyundai I20 Asta 1.2 (o) (make Year 2010) (petrol),Delhi,Hyundai,I20,2010,Petrol,60000,330000
2015 Ford Ecosport diesel 14500 Kms,Delhi,Ford,Ecosport,2015,Diesel,14500,900000
Maruti Suzuki Wagon R 1.0 Vxi (make Year 2013) (petrol),Delhi,Maruti Suzuki,Wagon R 1.0,2013,Petrol,46700,330000
Bmw 7 Series 730ld Sedan (make Year 2012) (diesel),Delhi,BMW,7 Series,2012,Diesel,60000,3199999
Hyundai I10 petrol 16200 Kms 2011 year,Delhi,Hyundai,I10,2011,Petrol,16200,325000
Maruti Suzuki Wagon R 1.0 Lxi Cng (make Year 2011) (cng),Delhi,Maruti Suzuki,Wagon R 1.0,2011,CNG & Hybrids,40000,240000
Hyundai Eon Magna + (make Year 2011) (petrol),Delhi,Hyundai,Eon,2011,Petrol,40970,230000
Honda City 1.5 S Mt (make Year 2013) (petrol),Delhi,Honda,City,2013,Petrol,65000,550000
Mahindra Scorpio Sle Bs-iv (make Year 2010) (diesel),Delhi,Mahindra,Scorpio,2010,Diesel,88000,555000
Hyundai I10 Magna 1.2 (make Year 2010) (petrol),Delhi,Hyundai,I10,2010,Petrol,39000,250000
Mercedes-benz E-class E250 Cdi Avantgarde (make Year 2011) (,Delhi,Mercedes-Benz,E Class,2011,Diesel,40000,2050000
Hyundai Santro Xing Gls (make Year 2013) (petrol),Delhi,Hyundai,Santro Xing,2013,Petrol,17000,330000
Volkswagen Polo (make Year 2011) (petrol),Delhi,Volkswagen,Polo,2011,Petrol,22045,325000
Hyundai I20 Magna (o) 1.2 (make Year 2011) (petrol),Delhi,Hyundai,I20,2011,Petrol,19000,330000
Mahindra Xuv500 W8 Awd 2013 (make Year 2013) (diesel),Delhi,Mahindra,Xuv500,2013,Diesel,45000,969000
Hyundai I10 petrol 41000 Kms 2013 year,Delhi,Hyundai,I10,2013,Petrol,41000,295000
Audi A4 2.0 Tdi (177bhp) Premium Plus (make Year 2013) (dies,Delhi,Audi,A4,2013,Diesel,16000,2450000
Maruti Suzuki Alto Lxi Cng (make Year 2012) (cng),Delhi,Maruti Suzuki,Alto,2012,CNG & Hybrids,45000,225000
Maruti Suzuki Swift Vxi 1.2 Bs-iv (make Year 2014) (petrol),Delhi,Maruti Suzuki,Swift,2014,Petrol,35000,445000
